frame,x,y,velocity,snr
78,0.056,1.787,0.000,21.400
78,-1.274,3.481,0.000,19.400
78,-2.500,2.577,0.000,19.400
78,-0.221,0.324,0.483,41.600
78,-0.368,0.137,0.483,41.600
78,-0.240,0.415,0.845,29.500
78,-0.075,0.474,0.845,29.500
78,-0.016,0.523,-0.845,50.800
79,-0.079,0.037,0.000,24.900
79,0.065,0.058,0.000,24.900
79,-0.531,0.381,0.000,15.600
79,0.531,0.381,0.000,15.600
79,0.000,1.788,0.000,23.200
79,0.899,1.695,0.000,15.800
79,0.000,1.919,0.000,15.800
79,-1.274,3.481,0.000,16.000
79,-2.500,2.577,0.000,16.000
79,-0.286,0.329,0.121,31.100
79,0.422,0.108,0.121,31.100
79,0.000,0.610,0.362,40.700
79,-0.229,0.566,0.362,40.700
80,-0.079,0.037,0.000,30.600
80,0.065,0.058,0.000,30.600
80,0.000,1.788,0.000,18.400
80,0.447,1.731,0.000,18.400
80,-1.274,3.481,0.000,16.100
80,-2.500,2.577,0.000,16.100
80,-1.319,3.603,0.000,15.800
80,-2.500,2.668,0.000,15.800
80,0.000,0.610,-0.604,48.300
80,-0.229,0.566,-0.604,48.300
80,-0.286,0.329,-0.121,33.500
80,0.422,0.108,-0.121,33.500
81,-0.079,0.037,0.000,40.600
81,0.065,0.058,0.000,40.600
81,0.112,1.784,0.000,19.700
81,0.899,1.695,0.000,19.700
81,0.060,1.918,0.000,15.500
81,-1.274,3.481,0.000,15.500
81,-2.500,2.577,0.000,19.300
81,-1.199,3.645,0.000,19.300
81,-2.500,2.668,0.000,58.500
81,-0.544,0.625,0.121,40.100
81,0.777,0.288,0.121,63.300
81,-0.033,0.522,0.724,63.300
81,-0.055,0.433,-0.966,0.000
81,-0.218,0.378,-0.966,0.000
81,-0.208,0.332,-0.604,443.500
81,-0.356,0.166,-0.604,465.700
